txn_id,date,year,month,day,month_index,member,member_clean,role,merchant,category,category_clean,subcategory,account,payment_method,direction,amount,signed_amount,amount_abs,income_amount,expense_amount,savings_amount,debt_amount,essential_amount,asset_amount,currency,recurring,recurring_value,essential,essential_value,source,location,location_clean,note,anomaly_issue,anomaly_severity,anomaly_score,duplicate_key
TXN00001,2021-01-01,2021,1,1,1,Household,Household,asset,Opening Checking,assets,assets,checking_opening,checking,system,asset,18000,18000,18000,0,0,0,0,0,18000,PLN,false,0,true,1,asset_snapshot,Home,Home,,,none,0,2021-01-01|Household|Opening Checking|18000|assets
TXN00002,2021-01-01,2021,1,1,1,Household,Household,asset,Opening Savings,assets,assets,savings_opening,savings,system,asset,32000,32000,32000,0,0,0,0,0,32000,PLN,false,0,true,1,asset_snapshot,Home,Home,,,none,0,2021-01-01|Household|Opening Savings|32000|assets
TXN00003,2021-01-01,2021,1,1,1,Household,Household,debt,Bank Habitat,debt,debt,mortgage_balance,mortgage,system,asset,410000,-410000,410000,0,0,0,0,0,-410000,PLN,false,0,true,1,asset_snapshot,Home,Home,,,none,0,2021-01-01|Household|Bank Habitat|410000|debt
TXN00004,2021-01-26,2021,1,26,1,Anna,Anna,parent_salary,City Hospital,income,income,salary,checking,bank_transfer,in,8350,8350,8350,8350,0,0,0,0,0,PLN,true,1,true,1,payroll,Warsaw,Warsaw,monthly salary,,none,0,2021-01-26|Anna|City Hospital|8350|income
TXN00005,2021-01-20,2021,1,20,1,Marek,Marek,parent_freelance,UX Workshop,income,income,freelance,checking,bank_transfer,in,390.83,390.83,390.83,390.83,0,0,0,0,0,PLN,false,0,false,0,invoice,Online,Online,,,none,0,2021-01-20|Marek|UX Workshop|390.83|income
TXN00006,2021-01-27,2021,1,27,1,Marek,Marek,parent_freelance,Design Client B,income,income,freelance,checking,bank_transfer,in,1079.97,1079.97,1079.97,1079.97,0,0,0,0,0,PLN,false,0,false,0,invoice,Online,Online,,,none,0,2021-01-27|Marek|Design Client B|1079.97|income
TXN00007,2021-01-06,2021,1,6,1,Marek,Marek,parent_freelance,Design Client A,income,income,freelance,checking,bank_transfer,in,376.02,376.02,376.02,376.02,0,0,0,0,0,PLN,false,0,false,0,invoice,Online,Online,,,none,0,2021-01-06|Marek|Design Client A|376.02|income
TXN00008,2021-01-28,2021,1,28,1,Marek,Marek,parent_freelance,Design Client B,income,income,freelance,checking,bank_transfer,in,400.37,400.37,400.37,400.37,0,0,0,0,0,PLN,false,0,false,0,invoice,Online,Online,,,none,0,2021-01-28|Marek|Design Client B|400.37|income
TXN00009,2021-01-19,2021,1,19,1,Marek,Marek,parent_freelance,Design Client B,income,income,freelance,checking,bank_transfer,in,825.7,825.7,825.7,825.7,0,0,0,0,0,PLN,false,0,false,0,invoice,Online,Online,,,none,0,2021-01-19|Marek|Design Client B|825.7|income
TXN00010,2021-01-13,2021,1,13,1,Marek,Marek,parent_freelance,Consulting Client,income,income,freelance,checking,bank_transfer,in,782.43,782.43,782.43,782.43,0,0,0,0,0,PLN,false,0,false,0,invoice,Online,Online,,,none,0,2021-01-13|Marek|Consulting Client|782.43|income
TXN00011,2021-01-25,2021,1,25,1,Marek,Marek,parent_freelance,Design Client B,income,income,freelance,checking,bank_transfer,in,1013.09,1013.09,1013.09,1013.09,0,0,0,0,0,PLN,false,0,false,0,invoice,Online,Online,,,none,0,2021-01-25|Marek|Design Client B|1013.09|income
TXN00012,2021-01-02,2021,1,2,1,Household,Household,family,Bank Habitat,housing,housing,mortgage_payment,mortgage,direct_debit,out,3920,-3920,3920,0,3920,0,3920,3920,0,PLN,true,1,true,1,bank,Warsaw,Warsaw,,,none,0,2021-01-02|Household|Bank Habitat|3920|housing
TXN00013,2021-01-05,2021,1,5,1,Household,Household,family,Car Finance,debt,debt,car_loan,loan,direct_debit,out,840,-840,840,0,840,0,840,840,0,PLN,true,1,true,1,bank,Warsaw,Warsaw,,,none,0,2021-01-05|Household|Car Finance|840|debt
TXN00014,2021-01-14,2021,1,14,1,Household,Household,family,Power Grid,utilities,utilities,electricity,checking,direct_debit,out,312.03,-312.03,312.03,0,312.03,0,0,312.03,0,PLN,true,1,true,1,bill,Online,Online,,,none,0,2021-01-14|Household|Power Grid|312.03|utilities
TXN00015,2021-01-07,2021,1,7,1,Household,Household,family,Gas Utility,utilities,utilities,gas,checking,direct_debit,out,282.38,-282.38,282.38,0,282.38,0,0,282.38,0,PLN,true,1,true,1,bill,Online,Online,,,none,0,2021-01-07|Household|Gas Utility|282.38|utilities
TXN00016,2021-01-14,2021,1,14,1,Household,Household,family,Water Utility,utilities,utilities,water,checking,direct_debit,out,149.45,-149.45,149.45,0,149.45,0,0,149.45,0,PLN,true,1,true,1,bill,Online,Online,,,none,0,2021-01-14|Household|Water Utility|149.45|utilities
TXN00017,2021-01-11,2021,1,11,1,Household,Household,family,Fiber Net,utilities,utilities,internet,checking,direct_debit,out,119.99,-119.99,119.99,0,119.99,0,0,119.99,0,PLN,true,1,true,1,bill,Online,Online,,,none,0,2021-01-11|Household|Fiber Net|119.99|utilities
TXN00018,2021-01-22,2021,1,22,1,Anna,Anna,family,Fresh Market,groceries,groceries,produce,credit_card,card,out,275.9,-275.9,275.9,0,275.9,0,0,275.9,0,PLN,false,0,true,1,card,Praga,Praga,,,none,0,2021-01-22|Anna|Fresh Market|275.9|groceries
TXN00019,2021-01-26,2021,1,26,1,Anna,Anna,family,Family Grocer,groceries,groceries,household_items,credit_card,card,out,194.24,-194.24,194.24,0,194.24,0,0,194.24,0,PLN,false,0,true,1,card,Mokotow,Mokotow,,,none,0,2021-01-26|Anna|Family Grocer|194.24|groceries
TXN00020,2021-01-22,2021,1,22,1,Anna,Anna,family,Corner Bakery,groceries,groceries,produce,credit_card,card,out,173.99,-173.99,173.99,0,173.99,0,0,173.99,0,PLN,false,0,true,1,card,Mokotow,Mokotow,,,none,0,2021-01-22|Anna|Corner Bakery|173.99|groceries
TXN00021,2021-01-07,2021,1,7,1,Anna,Anna,family,Green Farm,groceries,groceries,weekly_shop,credit_card,card,out,289.13,-289.13,289.13,0,289.13,0,0,289.13,0,PLN,false,0,true,1,card,Piaseczno,Piaseczno,,,none,0,2021-01-07|Anna|Green Farm|289.13|groceries
TXN00022,2021-01-02,2021,1,2,1,Marek,Marek,family,Fresh Market,groceries,groceries,household_items,credit_card,card,out,298.38,-298.38,298.38,0,298.38,0,0,298.38,0,PLN,false,0,true,1,card,Warsaw,Warsaw,,,none,0,2021-01-02|Marek|Fresh Market|298.38|groceries
TXN00023,2021-01-30,2021,1,30,1,Anna,Anna,family,Local Butcher,groceries,groceries,household_items,credit_card,card,out,309.92,-309.92,309.92,0,309.92,0,0,309.92,0,PLN,false,0,true,1,card,Mokotow,Mokotow,,,none,0,2021-01-30|Anna|Local Butcher|309.92|groceries
TXN00024,2021-01-22,2021,1,22,1,Anna,Anna,family,Local Butcher,groceries,groceries,weekly_shop,credit_card,card,out,163.35,-163.35,163.35,0,163.35,0,0,163.35,0,PLN,false,0,true,1,card,Piaseczno,Piaseczno,,,none,0,2021-01-22|Anna|Local Butcher|163.35|groceries
TXN00025,2021-01-20,2021,1,20,1,Anna,Anna,family,Bike Service,transport,transport,fuel,credit_card,card,out,54.02,-54.02,54.02,0,54.02,0,0,54.02,0,PLN,false,0,true,1,card,Piaseczno,Piaseczno,,,none,0,2021-01-20|Anna|Bike Service|54.02|transport
TXN00026,2021-01-27,2021,1,27,1,Marek,Marek,family,Rail Tickets,transport,transport,parking,credit_card,cash,out,109.84,-109.84,109.84,0,109.84,0,0,109.84,0,PLN,false,0,true,1,card,Online,Online,,,none,0,2021-01-27|Marek|Rail Tickets|109.84|transport
TXN00027,2021-01-02,2021,1,2,1,Kuba,Kuba,family,Metro Pass,transport,transport,fuel,credit_card,cash,out,89.01,-89.01,89.01,0,89.01,0,0,89.01,0,PLN,false,0,true,1,card,Mokotow,Mokotow,,,none,0,2021-01-02|Kuba|Metro Pass|89.01|transport
TXN00028,2021-01-23,2021,1,23,1,Marek,Marek,family,Rail Tickets,transport,transport,fuel,credit_card,card,out,47,-47,47,0,47,0,0,47,0,PLN,false,0,true,1,card,Piaseczno,Piaseczno,,,none,0,2021-01-23|Marek|Rail Tickets|47|transport
TXN00029,2021-01-22,2021,1,22,1,Marek,Marek,family,Bike Service,transport,transport,fuel,credit_card,cash,out,132.68,-132.68,132.68,0,132.68,0,0,132.68,0,PLN,false,0,true,1,card,Online,Online,,,none,0,2021-01-22|Marek|Bike Service|132.68|transport
TXN00030,2021-01-01,2021,1,1,1,Anna,Anna,family,Rail Tickets,transport,transport,tickets,credit_card,cash,out,151.77,-151.77,151.77,0,151.77,0,0,151.77,0,PLN,false,0,true,1,card,Piaseczno,Piaseczno,,,none,0,2021-01-01|Anna|Rail Tickets|151.77|transport
TXN00031,2021-01-10,2021,1,10,1,Ola,Ola,family,Bike Service,transport,transport,fuel,credit_card,card,out,43.57,-43.57,43.57,0,43.57,0,0,43.57,0,PLN,false,0,true,1,card,Online,Online,,,none,0,2021-01-10|Ola|Bike Service|43.57|transport
TXN00032,2021-01-14,2021,1,14,1,Ola,Ola,child,Art Class,school,school,tuition,credit_card,card,out,88.42,-88.42,88.42,0,88.42,0,0,88.42,0,PLN,false,0,true,1,card,Praga,Praga,,,none,0,2021-01-14|Ola|Art Class|88.42|school
TXN00033,2021-01-30,2021,1,30,1,Kuba,Kuba,child,Bookshop,school,school,activities,credit_card,card,out,140.69,-140.69,140.69,0,140.69,0,0,140.69,0,PLN,false,0,true,1,card,Online,Online,,,none,0,2021-01-30|Kuba|Bookshop|140.69|school
TXN00034,2021-01-17,2021,1,17,1,Kuba,Kuba,child,Bookshop,school,school,activities,credit_card,card,out,63.23,-63.23,63.23,0,63.23,0,0,63.23,0,PLN,false,0,true,1,card,Praga,Praga,,,none,0,2021-01-17|Kuba|Bookshop|63.23|school
TXN00035,2021-01-19,2021,1,19,1,Luna,Luna,dog,Dog Groomer,dog,dog,vet,credit_card,card,out,208.2,-208.2,208.2,0,208.2,0,0,208.2,0,PLN,false,0,true,1,card,Piaseczno,Piaseczno,,,none,0,2021-01-19|Luna|Dog Groomer|208.2|dog
TXN00036,2021-01-05,2021,1,5,1,Luna,Luna,dog,Vet Clinic,dog,dog,food,credit_card,card,out,122.08,-122.08,122.08,0,122.08,0,0,122.08,0,PLN,false,0,true,1,card,Online,Online,,,none,0,2021-01-05|Luna|Vet Clinic|122.08|dog
TXN00037,2021-01-01,2021,1,1,1,Luna,Luna,dog,Pet Insurance,dog,dog,food,credit_card,card,out,172.89,-172.89,172.89,0,172.89,0,0,172.89,0,PLN,false,0,true,1,card,Online,Online,,,none,0,2021-01-01|Luna|Pet Insurance|172.89|dog
TXN00038,2021-01-22,2021,1,22,1,Kuba,Kuba,family,Pharmacy,healthcare,healthcare,glasses,credit_card,card,out,268.95,-268.95,268.95,0,268.95,0,0,268.95,0,PLN,false,0,true,1,card,Warsaw,Warsaw,,,none,0,2021-01-22|Kuba|Pharmacy|268.95|healthcare
TXN00039,2021-01-20,2021,1,20,1,Anna,Anna,family,Pharmacy,healthcare,healthcare,visit,credit_card,card,out,229.44,-229.44,229.44,0,229.44,0,0,229.44,0,PLN,false,0,true,1,card,Warsaw,Warsaw,,,none,0,2021-01-20|Anna|Pharmacy|229.44|healthcare
TXN00040,2021-01-09,2021,1,9,1,Household,Household,family,StreamBox,subscriptions,subscriptions,digital,credit_card,direct_debit,out,42,-42,42,0,42,0,0,0,0,PLN,true,1,false,0,subscription,Online,Online,,,none,0,2021-01-09|Household|StreamBox|42|subscriptions
TXN00041,2021-01-06,2021,1,6,1,Household,Household,family,Cloud Drive,subscriptions,subscriptions,digital,credit_card,direct_debit,out,25,-25,25,0,25,0,0,0,0,PLN,true,1,false,0,subscription,Online,Online,,,none,0,2021-01-06|Household|Cloud Drive|25|subscriptions
TXN00042,2021-01-21,2021,1,21,1,Household,Household,family,Music Plus,subscriptions,subscriptions,digital,credit_card,direct_debit,out,29,-29,29,0,29,0,0,0,0,PLN,true,1,false,0,subscription,Online,Online,,,none,0,2021-01-21|Household|Music Plus|29|subscriptions
TXN00043,2021-01-10,2021,1,10,1,Household,Household,family,Kids Learn,subscriptions,subscriptions,digital,credit_card,direct_debit,out,38,-38,38,0,38,0,0,0,0,PLN,true,1,false,0,subscription,Online,Online,,,none,0,2021-01-10|Household|Kids Learn|38|subscriptions
TXN00044,2021-01-11,2021,1,11,1,Household,Household,family,Dog Tracker,subscriptions,subscriptions,digital,credit_card,direct_debit,out,18,-18,18,0,18,0,0,0,0,PLN,true,1,false,0,subscription,Online,Online,,,none,0,2021-01-11|Household|Dog Tracker|18|subscriptions
TXN00045,2021-01-27,2021,1,27,1,Ola,Ola,family,Cinema,entertainment,entertainment,weekend,credit_card,card,out,245.69,-245.69,245.69,0,245.69,0,0,0,0,PLN,false,0,false,0,card,Praga,Praga,,,none,0,2021-01-27|Ola|Cinema|245.69|entertainment
TXN00046,2021-01-22,2021,1,22,1,Household,Household,family,Car Service,repairs,repairs,home,checking,card,out,356.94,-356.94,356.94,0,356.94,0,0,0,0,PLN,false,0,false,0,card,Online,Online,,,none,0,2021-01-22|Household|Car Service|356.94|repairs
TXN00047,2021-01-27,2021,1,27,1,Household,Household,family,Savings Account,savings,savings,monthly_transfer,savings,bank_transfer,out,1200,-1200,1200,0,0,1200,0,0,0,PLN,true,1,false,0,bank,Online,Online,,,none,0,2021-01-27|Household|Savings Account|1200|savings
TXN00048,2021-01-28,2021,1,28,1,Household,Household,family,Brokerage ETF,investment,investment,etf,brokerage,bank_transfer,out,850,-850,850,0,0,850,0,0,0,PLN,true,1,false,0,bank,Online,Online,,,none,0,2021-01-28|Household|Brokerage ETF|850|investment
TXN00049,2021-01-17,2021,1,17,1,Anna,Anna,family,Insurance Refund,refunds,refunds,refund,checking,bank_transfer,in,137.32,137.32,137.32,137.32,0,0,0,0,0,PLN,false,0,false,0,refund,Online,Online,,,none,0,2021-01-17|Anna|Insurance Refund|137.32|refunds
TXN00050,2021-02-26,2021,2,26,2,Anna,Anna,parent_salary,City Hospital,income,income,salary,checking,bank_transfer,in,8350,8350,8350,8350,0,0,0,0,0,PLN,true,1,true,1,payroll,Warsaw,Warsaw,monthly salary,,none,0,2021-02-26|Anna|City Hospital|8350|income
TXN00051,2021-02-19,2021,2,19,2,Marek,Marek,parent_freelance,UX Workshop,income,income,freelance,checking,bank_transfer,in,1080.57,1080.57,1080.57,1080.57,0,0,0,0,0,PLN,false,0,false,0,invoice,Online,Online,,,none,0,2021-02-19|Marek|UX Workshop|1080.57|income
TXN00052,2021-02-24,2021,2,24,2,Marek,Marek,parent_freelance,Consulting Client,income,income,freelance,checking,bank_transfer,in,663.24,663.24,663.24,663.24,0,0,0,0,0,PLN,false,0,false,0,invoice,Online,Online,,,none,0,2021-02-24|Marek|Consulting Client|663.24|income
TXN00053,2021-02-02,2021,2,2,2,Marek,Marek,parent_freelance,Design Client B,income,income,freelance,checking,bank_transfer,in,573.97,573.97,573.97,573.97,0,0,0,0,0,PLN,false,0,false,0,invoice,Online,Online,,,none,0,2021-02-02|Marek|Design Client B|573.97|income
TXN00054,2021-02-15,2021,2,15,2,Marek,Marek,parent_freelance,Design Client A,income,income,freelance,checking,bank_transfer,in,866.59,866.59,866.59,866.59,0,0,0,0,0,PLN,false,0,false,0,invoice,Online,Online,,,none,0,2021-02-15|Marek|Design Client A|866.59|income
TXN00055,2021-02-22,2021,2,22,2,Marek,Marek,parent_freelance,UX Workshop,income,income,freelance,checking,bank_transfer,in,547.93,547.93,547.93,547.93,0,0,0,0,0,PLN,false,0,false,0,invoice,Online,Online,,,none,0,2021-02-22|Marek|UX Workshop|547.93|income
TXN00056,2021-02-23,2021,2,23,2,Marek,Marek,parent_freelance,Consulting Client,income,income,freelance,checking,bank_transfer,in,827.51,827.51,827.51,827.51,0,0,0,0,0,PLN,false,0,false,0,invoice,Online,Online,,,none,0,2021-02-23|Marek|Consulting Client|827.51|income
TXN00057,2021-02-20,2021,2,20,2,Marek,Marek,parent_freelance,Consulting Client,income,income,freelance,checking,bank_transfer,in,653.07,653.07,653.07,653.07,0,0,0,0,0,PLN,false,0,false,0,invoice,Online,Online,,,none,0,2021-02-20|Marek|Consulting Client|653.07|income
TXN00058,2021-02-02,2021,2,2,2,Household,Household,family,Bank Habitat,housing,housing,mortgage_payment,mortgage,direct_debit,out,3927.84,-3927.84,3927.84,0,3927.84,0,3927.84,3927.84,0,PLN,true,1,true,1,bank,Warsaw,Warsaw,,,none,0,2021-02-02|Household|Bank Habitat|3927.84|housing
TXN00059,2021-02-05,2021,2,5,2,Household,Household,family,Car Finance,debt,debt,car_loan,loan,direct_debit,out,841.68,-841.68,841.68,0,841.68,0,841.68,841.68,0,PLN,true,1,true,1,bank,Warsaw,Warsaw,,,none,0,2021-02-05|Household|Car Finance|841.68|debt
TXN00060,2021-02-18,2021,2,18,2,Household,Household,family,Power Grid,utilities,utilities,electricity,checking,direct_debit,out,406.71,-406.71,406.71,0,406.71,0,0,406.71,0,PLN,true,1,true,1,bill,Online,Online,,,none,0,2021-02-18|Household|Power Grid|406.71|utilities
TXN00061,2021-02-11,2021,2,11,2,Household,Household,family,Gas Utility,utilities,utilities,gas,checking,direct_debit,out,234.8,-234.8,234.8,0,234.8,0,0,234.8,0,PLN,true,1,true,1,bill,Online,Online,,,none,0,2021-02-11|Household|Gas Utility|234.8|utilities
TXN00062,2021-02-13,2021,2,13,2,Household,Household,family,Water Utility,utilities,utilities,water,checking,direct_debit,out,168.79,-168.79,168.79,0,168.79,0,0,168.79,0,PLN,true,1,true,1,bill,Online,Online,,,none,0,2021-02-13|Household|Water Utility|168.79|utilities
TXN00063,2021-02-10,2021,2,10,2,Household,Household,family,Fiber Net,utilities,utilities,internet,checking,direct_debit,out,110.05,-110.05,110.05,0,110.05,0,0,110.05,0,PLN,true,1,true,1,bill,Online,Online,,,none,0,2021-02-10|Household|Fiber Net|110.05|utilities
TXN00064,2021-02-02,2021,2,2,2,Marek,Marek,family,Local Butcher,groceries,groceries,household_items,credit_card,card,out,184.21,-184.21,184.21,0,184.21,0,0,184.21,0,PLN,false,0,true,1,card,Praga,Praga,,,none,0,2021-02-02|Marek|Local Butcher|184.21|groceries
TXN00065,2021-02-04,2021,2,4,2,Marek,Marek,family,Local Butcher,groceries,groceries,produce,credit_card,card,out,194.13,-194.13,194.13,0,194.13,0,0,194.13,0,PLN,false,0,true,1,card,Piaseczno,Piaseczno,,,none,0,2021-02-04|Marek|Local Butcher|194.13|groceries
TXN00066,2021-02-13,2021,2,13,2,Marek,Marek,family,Corner Bakery,groceries,groceries,household_items,credit_card,card,out,180.03,-180.03,180.03,0,180.03,0,0,180.03,0,PLN,false,0,true,1,card,Mokotow,Mokotow,,,none,0,2021-02-13|Marek|Corner Bakery|180.03|groceries
TXN00067,2021-02-17,2021,2,17,2,Marek,Marek,family,Green Farm,groceries,groceries,produce,credit_card,card,out,189.69,-189.69,189.69,0,189.69,0,0,189.69,0,PLN,false,0,true,1,card,Online,Online,,,none,0,2021-02-17|Marek|Green Farm|189.69|groceries
TXN00068,2021-02-12,2021,2,12,2,Marek,Marek,family,Local Butcher,groceries,groceries,household_items,credit_card,card,out,258.61,-258.61,258.61,0,258.61,0,0,258.61,0,PLN,false,0,true,1,card,Piaseczno,Piaseczno,,,none,0,2021-02-12|Marek|Local Butcher|258.61|groceries
TXN00069,2021-02-18,2021,2,18,2,Marek,Marek,family,Corner Bakery,groceries,groceries,bakery,credit_card,card,out,282.52,-282.52,282.52,0,282.52,0,0,282.52,0,PLN,false,0,true,1,card,Warsaw,Warsaw,,,none,0,2021-02-18|Marek|Corner Bakery|282.52|groceries
TXN00070,2021-02-07,2021,2,7,2,Marek,Marek,family,Corner Bakery,groceries,groceries,weekly_shop,credit_card,card,out,291.46,-291.46,291.46,0,291.46,0,0,291.46,0,PLN,false,0,true,1,card,Praga,Praga,,,none,0,2021-02-07|Marek|Corner Bakery|291.46|groceries
