txn_id,date,year,month,day,month_index,member,member_clean,role,merchant,category,category_clean,subcategory,account,payment_method,direction,amount,signed_amount,amount_abs,income_amount,expense_amount,savings_amount,debt_amount,essential_amount,asset_amount,currency,recurring,recurring_value,essential,essential_value,source,location,location_clean,note,anomaly_issue,anomaly_severity,anomaly_score,duplicate_key
TXN00001,2021-01-01,2021,1,1,1,Household,Household,asset,Opening Checking,assets,assets,checking_opening,checking,system,asset,18000,18000,18000,0,0,0,0,0,18000,PLN,false,0,true,1,asset_snapshot,Home,Home,,,none,0,2021-01-01|Household|Opening Checking|18000|assets
TXN00002,2021-01-01,2021,1,1,1,Household,Household,asset,Opening Savings,assets,assets,savings_opening,savings,system,asset,32000,32000,32000,0,0,0,0,0,32000,PLN,false,0,true,1,asset_snapshot,Home,Home,,,none,0,2021-01-01|Household|Opening Savings|32000|assets
TXN00003,2021-01-01,2021,1,1,1,Household,Household,debt,Bank Habitat,debt,debt,mortgage_balance,mortgage,system,asset,410000,-410000,410000,0,0,0,0,0,-410000,PLN,false,0,true,1,asset_snapshot,Home,Home,,,none,0,2021-01-01|Household|Bank Habitat|410000|debt
TXN00004,2021-01-26,2021,1,26,1,Anna,Anna,parent_salary,City Hospital,income,income,salary,checking,bank_transfer,in,8350,8350,8350,8350,0,0,0,0,0,PLN,true,1,true,1,payroll,Warsaw,Warsaw,monthly salary,,none,0,2021-01-26|Anna|City Hospital|8350|income
TXN00005,2021-01-26,2021,1,26,1,Marek,Marek,parent_freelance,Design Client A,income,income,freelance,checking,bank_transfer,in,522.42,522.42,522.42,522.42,0,0,0,0,0,PLN,false,0,false,0,invoice,Online,Online,,,none,0,2021-01-26|Marek|Design Client A|522.42|income
TXN00006,2021-01-20,2021,1,20,1,Marek,Marek,parent_freelance,UX Workshop,income,income,freelance,checking,bank_transfer,in,672.75,672.75,672.75,672.75,0,0,0,0,0,PLN,false,0,false,0,invoice,Online,Online,,,none,0,2021-01-20|Marek|UX Workshop|672.75|income
TXN00007,2021-01-09,2021,1,9,1,Marek,Marek,parent_freelance,Consulting Client,income,income,freelance,checking,bank_transfer,in,656.03,656.03,656.03,656.03,0,0,0,0,0,PLN,false,0,false,0,invoice,Online,Online,,,none,0,2021-01-09|Marek|Consulting Client|656.03|income
TXN00008,2021-01-22,2021,1,22,1,Marek,Marek,parent_freelance,Consulting Client,income,income,freelance,checking,bank_transfer,in,662.23,662.23,662.23,662.23,0,0,0,0,0,PLN,false,0,false,0,invoice,Online,Online,,,none,0,2021-01-22|Marek|Consulting Client|662.23|income
TXN00009,2021-01-22,2021,1,22,1,Marek,Marek,parent_freelance,UX Workshop,income,income,freelance,checking,bank_transfer,in,701.25,701.25,701.25,701.25,0,0,0,0,0,PLN,false,0,false,0,invoice,Online,Online,,,none,0,2021-01-22|Marek|UX Workshop|701.25|income
TXN00010,2021-01-02,2021,1,2,1,Household,Household,family,Bank Habitat,housing,housing,mortgage_payment,mortgage,direct_debit,out,3920,-3920,3920,0,3920,0,3920,3920,0,PLN,true,1,true,1,bank,Warsaw,Warsaw,,,none,0,2021-01-02|Household|Bank Habitat|3920|housing
TXN00011,2021-01-05,2021,1,5,1,Household,Household,family,Car Finance,debt,debt,car_loan,loan,direct_debit,out,840,-840,840,0,840,0,840,840,0,PLN,true,1,true,1,bank,Warsaw,Warsaw,,,none,0,2021-01-05|Household|Car Finance|840|debt
TXN00012,2021-01-13,2021,1,13,1,Household,Household,family,Power Grid,utilities,utilities,electricity,checking,direct_debit,out,371.35,-371.35,371.35,0,371.35,0,0,371.35,0,PLN,true,1,true,1,bill,Online,Online,,,none,0,2021-01-13|Household|Power Grid|371.35|utilities
TXN00013,2021-01-10,2021,1,10,1,Household,Household,family,Gas Utility,utilities,utilities,gas,checking,direct_debit,out,274.58,-274.58,274.58,0,274.58,0,0,274.58,0,PLN,true,1,true,1,bill,Online,Online,,,none,0,2021-01-10|Household|Gas Utility|274.58|utilities
TXN00014,2021-01-07,2021,1,7,1,Household,Household,family,Water Utility,utilities,utilities,water,checking,direct_debit,out,161,-161,161,0,161,0,0,161,0,PLN,true,1,true,1,bill,Online,Online,,,none,0,2021-01-07|Household|Water Utility|161|utilities
TXN00015,2021-01-13,2021,1,13,1,Household,Household,family,Fiber Net,utilities,utilities,internet,checking,direct_debit,out,121.7,-121.7,121.7,0,121.7,0,0,121.7,0,PLN,true,1,true,1,bill,Online,Online,,,none,0,2021-01-13|Household|Fiber Net|121.7|utilities
TXN00016,2021-01-22,2021,1,22,1,Anna,Anna,family,Family Grocer,groceries,groceries,weekly_shop,credit_card,card,out,216.53,-216.53,216.53,0,216.53,0,0,216.53,0,PLN,false,0,true,1,card,Mokotow,Mokotow,,,none,0,2021-01-22|Anna|Family Grocer|216.53|groceries
TXN00017,2021-01-05,2021,1,5,1,Anna,Anna,family,Corner Bakery,groceries,groceries,household_items,credit_card,card,out,216.68,-216.68,216.68,0,216.68,0,0,216.68,0,PLN,false,0,true,1,card,Online,Online,,,none,0,2021-01-05|Anna|Corner Bakery|216.68|groceries
TXN00018,2021-01-18,2021,1,18,1,Marek,Marek,family,Local Butcher,groceries,groceries,household_items,credit_card,card,out,218.06,-218.06,218.06,0,218.06,0,0,218.06,0,PLN,false,0,true,1,card,Online,Online,,,none,0,2021-01-18|Marek|Local Butcher|218.06|groceries
TXN00019,2021-01-08,2021,1,8,1,Anna,Anna,family,Fresh Market,groceries,groceries,produce,credit_card,card,out,224.92,-224.92,224.92,0,224.92,0,0,224.92,0,PLN,false,0,true,1,card,Mokotow,Mokotow,,,none,0,2021-01-08|Anna|Fresh Market|224.92|groceries
TXN00020,2021-01-29,2021,1,29,1,Anna,Anna,family,Family Grocer,groceries,groceries,household_items,credit_card,card,out,226.75,-226.75,226.75,0,226.75,0,0,226.75,0,PLN,false,0,true,1,card,Warsaw,Warsaw,,,none,0,2021-01-29|Anna|Family Grocer|226.75|groceries
TXN00021,2021-01-14,2021,1,14,1,Anna,Anna,family,Family Grocer,groceries,groceries,household_items,credit_card,card,out,265.6,-265.6,265.6,0,265.6,0,0,265.6,0,PLN,false,0,true,1,card,Online,Online,,,none,0,2021-01-14|Anna|Family Grocer|265.6|groceries
TXN00022,2021-01-16,2021,1,16,1,Anna,Anna,family,Family Grocer,groceries,groceries,household_items,credit_card,card,out,237.22,-237.22,237.22,0,237.22,0,0,237.22,0,PLN,false,0,true,1,card,Warsaw,Warsaw,,,none,0,2021-01-16|Anna|Family Grocer|237.22|groceries
TXN00023,2021-01-15,2021,1,15,1,Anna,Anna,family,Family Grocer,groceries,groceries,produce,credit_card,card,out,245.34,-245.34,245.34,0,245.34,0,0,245.34,0,PLN,false,0,true,1,card,Online,Online,,,none,0,2021-01-15|Anna|Family Grocer|245.34|groceries
TXN00024,2021-01-07,2021,1,7,1,Anna,Anna,family,Rail Tickets,transport,transport,service,credit_card,card,out,119.45,-119.45,119.45,0,119.45,0,0,119.45,0,PLN,false,0,true,1,card,Mokotow,Mokotow,,,none,0,2021-01-07|Anna|Rail Tickets|119.45|transport
TXN00025,2021-01-28,2021,1,28,1,Marek,Marek,family,Metro Pass,transport,transport,service,credit_card,card,out,67.07,-67.07,67.07,0,67.07,0,0,67.07,0,PLN,false,0,true,1,card,Online,Online,,,none,0,2021-01-28|Marek|Metro Pass|67.07|transport
TXN00026,2021-01-14,2021,1,14,1,Anna,Anna,family,Metro Pass,transport,transport,tickets,credit_card,cash,out,117.05,-117.05,117.05,0,117.05,0,0,117.05,0,PLN,false,0,true,1,card,Mokotow,Mokotow,,,none,0,2021-01-14|Anna|Metro Pass|117.05|transport
TXN00027,2021-01-19,2021,1,19,1,Kuba,Kuba,family,Fuel Station,transport,transport,service,credit_card,cash,out,72,-72,72,0,72,0,0,72,0,PLN,false,0,true,1,card,Online,Online,,,none,0,2021-01-19|Kuba|Fuel Station|72|transport
TXN00028,2021-01-04,2021,1,4,1,Marek,Marek,family,Metro Pass,transport,transport,service,credit_card,card,out,107,-107,107,0,107,0,0,107,0,PLN,false,0,true,1,card,Online,Online,,,none,0,2021-01-04|Marek|Metro Pass|107|transport
TXN00029,2021-01-20,2021,1,20,1,Ola,Ola,child,Bookshop,school,school,books,credit_card,card,out,194.49,-194.49,194.49,0,194.49,0,0,194.49,0,PLN,false,0,true,1,card,Online,Online,,,none,0,2021-01-20|Ola|Bookshop|194.49|school
TXN00030,2021-01-26,2021,1,26,1,Kuba,Kuba,child,Bookshop,school,school,tuition,credit_card,card,out,127.34,-127.34,127.34,0,127.34,0,0,127.34,0,PLN,false,0,true,1,card,Online,Online,,,none,0,2021-01-26|Kuba|Bookshop|127.34|school
TXN00031,2021-01-31,2021,1,31,1,Ola,Ola,child,Sports Club,school,school,lunch,credit_card,card,out,142.5,-142.5,142.5,0,142.5,0,0,142.5,0,PLN,false,0,true,1,card,Warsaw,Warsaw,,,none,0,2021-01-31|Ola|Sports Club|142.5|school
TXN00032,2021-01-24,2021,1,24,1,Luna,Luna,dog,Vet Clinic,dog,dog,grooming,credit_card,card,out,125.79,-125.79,125.79,0,125.79,0,0,125.79,0,PLN,false,0,true,1,card,Praga,Praga,,,none,0,2021-01-24|Luna|Vet Clinic|125.79|dog
TXN00033,2021-01-15,2021,1,15,1,Luna,Luna,dog,Vet Clinic,dog,dog,grooming,credit_card,card,out,144.1,-144.1,144.1,0,144.1,0,0,144.1,0,PLN,false,0,true,1,card,Praga,Praga,,,none,0,2021-01-15|Luna|Vet Clinic|144.1|dog
TXN00034,2021-01-05,2021,1,5,1,Ola,Ola,family,Clinic,healthcare,healthcare,medicine,credit_card,card,out,207.53,-207.53,207.53,0,207.53,0,0,207.53,0,PLN,false,0,true,1,card,Piaseczno,Piaseczno,,,none,0,2021-01-05|Ola|Clinic|207.53|healthcare
TXN00035,2021-01-18,2021,1,18,1,Marek,Marek,family,Optician,healthcare,healthcare,visit,credit_card,card,out,151.75,-151.75,151.75,0,151.75,0,0,151.75,0,PLN,false,0,true,1,card,Warsaw,Warsaw,,,none,0,2021-01-18|Marek|Optician|151.75|healthcare
TXN00036,2021-01-04,2021,1,4,1,Household,Household,family,StreamBox,subscriptions,subscriptions,digital,credit_card,direct_debit,out,42,-42,42,0,42,0,0,0,0,PLN,true,1,false,0,subscription,Online,Online,,,none,0,2021-01-04|Household|StreamBox|42|subscriptions
TXN00037,2021-01-25,2021,1,25,1,Household,Household,family,Cloud Drive,subscriptions,subscriptions,digital,credit_card,direct_debit,out,25,-25,25,0,25,0,0,0,0,PLN,true,1,false,0,subscription,Online,Online,,,none,0,2021-01-25|Household|Cloud Drive|25|subscriptions
TXN00038,2021-01-15,2021,1,15,1,Household,Household,family,Music Plus,subscriptions,subscriptions,digital,credit_card,direct_debit,out,29,-29,29,0,29,0,0,0,0,PLN,true,1,false,0,subscription,Online,Online,,,none,0,2021-01-15|Household|Music Plus|29|subscriptions
TXN00039,2021-01-05,2021,1,5,1,Household,Household,family,Kids Learn,subscriptions,subscriptions,digital,credit_card,direct_debit,out,38,-38,38,0,38,0,0,0,0,PLN,true,1,false,0,subscription,Online,Online,,,none,0,2021-01-05|Household|Kids Learn|38|subscriptions
TXN00040,2021-01-08,2021,1,8,1,Household,Household,family,Dog Tracker,subscriptions,subscriptions,digital,credit_card,direct_debit,out,18,-18,18,0,18,0,0,0,0,PLN,true,1,false,0,subscription,Online,Online,,,none,0,2021-01-08|Household|Dog Tracker|18|subscriptions
TXN00041,2021-01-12,2021,1,12,1,Anna,Anna,family,Museum,entertainment,entertainment,cinema,credit_card,card,out,179.71,-179.71,179.71,0,179.71,0,0,0,0,PLN,false,0,false,0,card,Praga,Praga,,,none,0,2021-01-12|Anna|Museum|179.71|entertainment
TXN00042,2021-01-27,2021,1,27,1,Household,Household,family,Savings Account,savings,savings,monthly_transfer,savings,bank_transfer,out,1200,-1200,1200,0,0,1200,0,0,0,PLN,true,1,false,0,bank,Online,Online,,,none,0,2021-01-27|Household|Savings Account|1200|savings
TXN00043,2021-01-28,2021,1,28,1,Household,Household,family,Brokerage ETF,investment,investment,etf,brokerage,bank_transfer,out,850,-850,850,0,0,850,0,0,0,PLN,true,1,false,0,bank,Online,Online,,,none,0,2021-01-28|Household|Brokerage ETF|850|investment
TXN00044,2021-02-26,2021,2,26,2,Anna,Anna,parent_salary,City Hospital,income,income,salary,checking,bank_transfer,in,8350,8350,8350,8350,0,0,0,0,0,PLN,true,1,true,1,payroll,Warsaw,Warsaw,monthly salary,,none,0,2021-02-26|Anna|City Hospital|8350|income
TXN00045,2021-02-26,2021,2,26,2,Marek,Marek,parent_freelance,UX Workshop,income,income,freelance,checking,bank_transfer,in,661.79,661.79,661.79,661.79,0,0,0,0,0,PLN,false,0,false,0,invoice,Online,Online,,,none,0,2021-02-26|Marek|UX Workshop|661.79|income
TXN00046,2021-02-13,2021,2,13,2,Marek,Marek,parent_freelance,UX Workshop,income,income,freelance,checking,bank_transfer,in,935.81,935.81,935.81,935.81,0,0,0,0,0,PLN,false,0,false,0,invoice,Online,Online,,,none,0,2021-02-13|Marek|UX Workshop|935.81|income
TXN00047,2021-02-24,2021,2,24,2,Marek,Marek,parent_freelance,UX Workshop,income,income,freelance,checking,bank_transfer,in,780.02,780.02,780.02,780.02,0,0,0,0,0,PLN,false,0,false,0,invoice,Online,Online,,,none,0,2021-02-24|Marek|UX Workshop|780.02|income
TXN00048,2021-02-12,2021,2,12,2,Marek,Marek,parent_freelance,Design Client B,income,income,freelance,checking,bank_transfer,in,741.93,741.93,741.93,741.93,0,0,0,0,0,PLN,false,0,false,0,invoice,Online,Online,,,none,0,2021-02-12|Marek|Design Client B|741.93|income
TXN00049,2021-02-02,2021,2,2,2,Marek,Marek,parent_freelance,Design Client B,income,income,freelance,checking,bank_transfer,in,765.56,765.56,765.56,765.56,0,0,0,0,0,PLN,false,0,false,0,invoice,Online,Online,,,none,0,2021-02-02|Marek|Design Client B|765.56|income
TXN00050,2021-02-09,2021,2,9,2,Marek,Marek,parent_freelance,Design Client B,income,income,freelance,checking,bank_transfer,in,714.86,714.86,714.86,714.86,0,0,0,0,0,PLN,false,0,false,0,invoice,Online,Online,,,none,0,2021-02-09|Marek|Design Client B|714.86|income
TXN00051,2021-02-02,2021,2,2,2,Household,Household,family,Bank Habitat,housing,housing,mortgage_payment,mortgage,direct_debit,out,3927.84,-3927.84,3927.84,0,3927.84,0,3927.84,3927.84,0,PLN,true,1,true,1,bank,Warsaw,Warsaw,,,none,0,2021-02-02|Household|Bank Habitat|3927.84|housing
TXN00052,2021-02-05,2021,2,5,2,Household,Household,family,Car Finance,debt,debt,car_loan,loan,direct_debit,out,841.68,-841.68,841.68,0,841.68,0,841.68,841.68,0,PLN,true,1,true,1,bank,Warsaw,Warsaw,,,none,0,2021-02-05|Household|Car Finance|841.68|debt
TXN00053,2021-02-18,2021,2,18,2,Household,Household,family,Power Grid,utilities,utilities,electricity,checking,direct_debit,out,333.7,-333.7,333.7,0,333.7,0,0,333.7,0,PLN,true,1,true,1,bill,Online,Online,,,none,0,2021-02-18|Household|Power Grid|333.7|utilities
TXN00054,2021-02-16,2021,2,16,2,Household,Household,family,Gas Utility,utilities,utilities,gas,checking,direct_debit,out,261.21,-261.21,261.21,0,261.21,0,0,261.21,0,PLN,true,1,true,1,bill,Online,Online,,,none,0,2021-02-16|Household|Gas Utility|261.21|utilities
TXN00055,2021-02-15,2021,2,15,2,Household,Household,family,Water Utility,utilities,utilities,water,checking,direct_debit,out,174.13,-174.13,174.13,0,174.13,0,0,174.13,0,PLN,true,1,true,1,bill,Online,Online,,,none,0,2021-02-15|Household|Water Utility|174.13|utilities
TXN00056,2021-02-10,2021,2,10,2,Household,Household,family,Fiber Net,utilities,utilities,internet,checking,direct_debit,out,110.5,-110.5,110.5,0,110.5,0,0,110.5,0,PLN,true,1,true,1,bill,Online,Online,,,none,0,2021-02-10|Household|Fiber Net|110.5|utilities
TXN00057,2021-02-26,2021,2,26,2,Anna,Anna,family,Fresh Market,groceries,groceries,produce,credit_card,card,out,258.82,-258.82,258.82,0,258.82,0,0,258.82,0,PLN,false,0,true,1,card,Warsaw,Warsaw,,,none,0,2021-02-26|Anna|Fresh Market|258.82|groceries
TXN00058,2021-02-18,2021,2,18,2,Marek,Marek,family,Green Farm,groceries,groceries,produce,credit_card,card,out,215.84,-215.84,215.84,0,215.84,0,0,215.84,0,PLN,false,0,true,1,card,Mokotow,Mokotow,,,none,0,2021-02-18|Marek|Green Farm|215.84|groceries
TXN00059,2021-02-10,2021,2,10,2,Marek,Marek,family,Green Farm,groceries,groceries,weekly_shop,credit_card,card,out,226.93,-226.93,226.93,0,226.93,0,0,226.93,0,PLN,false,0,true,1,card,Piaseczno,Piaseczno,,,none,0,2021-02-10|Marek|Green Farm|226.93|groceries
TXN00060,2021-02-07,2021,2,7,2,Marek,Marek,family,Family Grocer,groceries,groceries,weekly_shop,credit_card,card,out,231.25,-231.25,231.25,0,231.25,0,0,231.25,0,PLN,false,0,true,1,card,Mokotow,Mokotow,,,none,0,2021-02-07|Marek|Family Grocer|231.25|groceries
TXN00061,2021-02-20,2021,2,20,2,Anna,Anna,family,Green Farm,groceries,groceries,bakery,credit_card,card,out,197.67,-197.67,197.67,0,197.67,0,0,197.67,0,PLN,false,0,true,1,card,Online,Online,,,none,0,2021-02-20|Anna|Green Farm|197.67|groceries
TXN00062,2021-02-05,2021,2,5,2,Anna,Anna,family,Family Grocer,groceries,groceries,produce,credit_card,card,out,257.75,-257.75,257.75,0,257.75,0,0,257.75,0,PLN,false,0,true,1,card,Mokotow,Mokotow,,,none,0,2021-02-05|Anna|Family Grocer|257.75|groceries
TXN00063,2021-02-22,2021,2,22,2,Anna,Anna,family,Family Grocer,groceries,groceries,weekly_shop,credit_card,card,out,250.74,-250.74,250.74,0,250.74,0,0,250.74,0,PLN,false,0,true,1,card,Mokotow,Mokotow,,,none,0,2021-02-22|Anna|Family Grocer|250.74|groceries
TXN00064,2021-02-06,2021,2,6,2,Marek,Marek,family,Corner Bakery,groceries,groceries,weekly_shop,credit_card,card,out,243.6,-243.6,243.6,0,243.6,0,0,243.6,0,PLN,false,0,true,1,card,Piaseczno,Piaseczno,,,none,0,2021-02-06|Marek|Corner Bakery|243.6|groceries
TXN00065,2021-02-19,2021,2,19,2,Ola,Ola,family,Bike Service,transport,transport,service,credit_card,card,out,82.77,-82.77,82.77,0,82.77,0,0,82.77,0,PLN,false,0,true,1,card,Piaseczno,Piaseczno,,,none,0,2021-02-19|Ola|Bike Service|82.77|transport
TXN00066,2021-02-27,2021,2,27,2,Kuba,Kuba,family,Metro Pass,transport,transport,parking,credit_card,cash,out,118.76,-118.76,118.76,0,118.76,0,0,118.76,0,PLN,false,0,true,1,card,Piaseczno,Piaseczno,,,none,0,2021-02-27|Kuba|Metro Pass|118.76|transport
TXN00067,2021-02-05,2021,2,5,2,Kuba,Kuba,family,Metro Pass,transport,transport,service,credit_card,card,out,119.23,-119.23,119.23,0,119.23,0,0,119.23,0,PLN,false,0,true,1,card,Online,Online,,,none,0,2021-02-05|Kuba|Metro Pass|119.23|transport
TXN00068,2021-02-06,2021,2,6,2,Marek,Marek,family,Fuel Station,transport,transport,fuel,credit_card,card,out,81.01,-81.01,81.01,0,81.01,0,0,81.01,0,PLN,false,0,true,1,card,Piaseczno,Piaseczno,,,none,0,2021-02-06|Marek|Fuel Station|81.01|transport
TXN00069,2021-02-20,2021,2,20,2,Anna,Anna,family,Bike Service,transport,transport,fuel,credit_card,cash,out,89.73,-89.73,89.73,0,89.73,0,0,89.73,0,PLN,false,0,true,1,card,Online,Online,,,none,0,2021-02-20|Anna|Bike Service|89.73|transport
TXN00070,2021-02-28,2021,2,28,2,Kuba,Kuba,family,Bike Service,transport,transport,fuel,credit_card,cash,out,127.99,-127.99,127.99,0,127.99,0,0,127.99,0,PLN,false,0,true,1,card,Mokotow,Mokotow,,,none,0,2021-02-28|Kuba|Bike Service|127.99|transport
TXN00071,2021-02-13,2021,2,13,2,Marek,Marek,family,Bike Service,transport,transport,fuel,credit_card,card,out,93.1,-93.1,93.1,0,93.1,0,0,93.1,0,PLN,false,0,true,1,card,Praga,Praga,,,none,0,2021-02-13|Marek|Bike Service|93.1|transport
